"ID","Gender","Bmonth","Byear","Grade","School1","School2","School3","Confidence","Heard_sustain","Heard_earthweek","Heard_greenthumb","Heard_bike","Heard_conference","Heard_recycle","Heard_buddies","Part_sustain","Part_earthweek","Part_greenthumb","Part_bike","Part_conference","Part_recycle","Part_buddies","Effective","More_activities","Attendance","Collaborate","Member","Office_space","Increase_rate","Work_sustain","Leadership","Manage_funds","Investigate","Solutions","Brainstorm","Comments","SAM"
254786,"Male",8,1994,1,"HSE","SAM",NA,"Confident",1,"Earth Week",NA,"Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,"Completely Ineffective",NA,4,5,3,"Online Office","$11-$20","yes",3,4,3,3,3,NA,1
254787,"Male",8,1996,2,"BUS",NA,NA,"Confident",1,"Earth Week","Green Thumb","Bike Co-op","ENVS Conference","Recyclemania",NA,1,1,1,1,0,1,0,"Effective","Biking, community project",4,4,3,"Online Office","$1-$10","no",NA,NA,NA,NA,NA,NA,0
254788,"Male",11,1995,4,"SAL",NA,NA,"Confident",1,NA,NA,"Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,"Neutral",NA,1,1,1,"No preference","Not willing at all","no",NA,NA,NA,NA,NA,NA,0
254794,"Female",1,1996,1,"SAL",NA,NA,"Not Confident at All",0,"Earth Week",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,1,1,1,"No preference","Not willing at all","no",NA,NA,NA,NA,NA,"I don't know that I've ever really heard about sustainability, so I can't say much at all about it",0
254795,"Female",4,1993,2,"HSE","BUS",NA,"Neutral",0,NA,"Green Thumb","Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,"Completely Ineffective",NA,1,3,1,"No preference","Not willing at all","no",NA,NA,NA,NA,NA,NA,0
254796,"Female",8,1996,4,"HSE",NA,NA,"Extremely Confident",1,"Earth Week","Green Thumb","Bike Co-op","ENVS Conference",NA,NA,1,0,1,1,0,0,0,"Effective","Regular tips or workshops on how to practice sustainability in the context of being a college student.",2,5,5,"Physical Office","$1-$10","yes",4,1,4,4,5,NA,0
254797,"Female",1,1995,3,"SCS",NA,NA,"Slightly Confident",0,NA,"Green Thumb","Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,"Neutral","I don't know.",3,3,4,"Physical Office","$1-$10","yes",1,1,1,3,4,NA,0
254799,"Female",9,1997,2,"SAM",NA,NA,"Confident",0,NA,NA,"Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,"awareness activities",2,4,3,"Physical Office","$1-$10","yes",2,3,4,4,4,NA,1
254800,"Female",1,1995,3,"SAM",NA,NA,"Confident",1,NA,NA,"Bike Co-op","ENVS Conference",NA,NA,0,0,0,0,0,0,0,"Neutral","a campus-wide lights off day",5,5,5,"Online Office","$21-$30","yes",5,4,5,5,5,NA,1
254801,"Male",8,1995,1,"SAM",NA,NA,"Confident",0,NA,NA,"Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,4,4,4,"No preference","$21-$30","yes",3,3,4,4,3,NA,1
254803,"Female",9,1995,4,"SAM",NA,NA,"Confident",0,"Earth Week","Green Thumb","Bike Co-op","ENVS Conference",NA,NA,0,1,0,1,1,0,0,"Effective",NA,4,5,4,"Physical Office","$21-$30","yes",5,2,4,5,5,NA,1
254805,"Female",10,1996,3,"SCS",NA,NA,"Confident",1,"Earth Week","Green Thumb","Bike Co-op",NA,NA,NA,1,1,0,0,0,0,0,"Effective","Interactive activities to get people involved more",3,3,2,"No preference","$1-$10","no",NA,NA,NA,NA,NA,NA,0
254807,"Male",5,1994,3,"SAL",NA,NA,"Confident",1,"Earth Week",NA,"Bike Co-op",NA,NA,NA,1,0,0,0,0,0,0,"Effective","Interaction with different departments and student organizations",3,3,3,"No preference","Not willing at all","no",NA,NA,NA,NA,NA,NA,0
254810,"Female",5,1995,2,"SAL",NA,NA,"Neutral",1,NA,"Green Thumb","Bike Co-op","ENVS Conference",NA,NA,0,0,0,1,0,0,0,"Neutral",NA,3,3,2,"Physical Office","$1-$10","no",NA,NA,NA,NA,NA,"I say I am not interested in helping simply because I am stretched thin already with 16 credit hours, 3 jobs, and 4 clubs.",0
254811,"Female",4,1995,1,"SAM",NA,NA,"Confident",1,"Earth Week",NA,"Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,3,4,3,"Online Office","$11-$20","no",NA,NA,NA,NA,NA,NA,1
254812,"Male",6,1996,4,"SCS",NA,NA,"Neutral",0,NA,"Green Thumb","Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,2,3,1,"Online Office","Not willing at all","no",NA,NA,NA,NA,NA,NA,0
254814,"Female",5,1993,1,"SCS","IDS",NA,"Confident",1,NA,"Green Thumb","Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,5,5,5,"No preference","$11-$20","yes",4,4,4,4,4,NA,0
254816,"Female",7,1994,4,"BUS",NA,NA,"Confident",1,NA,NA,"Bike Co-op","ENVS Conference",NA,NA,1,0,0,1,0,0,0,"Neutral",NA,3,3,2,"Online Office","Not willing at all","no",NA,NA,NA,NA,NA,NA,0
254819,"Female",2,1989,1,"HSE",NA,NA,"Neutral",0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Neutral",NA,2,2,2,"Physical Office","$1-$10","no",NA,NA,NA,NA,NA,NA,0
254820,"Female",3,1995,2,"BUS",NA,NA,"Neutral",1,NA,NA,"Bike Co-op","ENVS Conference","Recyclemania",NA,1,0,0,1,0,0,0,"Effective",NA,3,4,3,"Online Office","$1-$10","no",NA,NA,NA,NA,NA,NA,0
254821,"Female",6,1997,4,"IDS",NA,NA,"Extremely Confident",1,"Earth Week",NA,"Bike Co-op",NA,NA,NA,1,1,0,0,0,0,0,"Ineffective",NA,4,4,1,"Physical Office","Not willing at all","yes",NA,NA,NA,NA,NA,NA,0
254823,"Female",3,1997,3,"HSE",NA,NA,"Not Confident at All",0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Completely Ineffective",NA,3,3,2,"No preference","$11-$20","no",NA,NA,NA,NA,NA,NA,0
254825,"Female",4,1997,4,"SAM",NA,NA,"Confident",1,"Earth Week","Green Thumb","Bike Co-op","ENVS Conference",NA,NA,0,0,0,0,0,0,0,NA,NA,1,5,1,"No preference","Not willing at all","yes",NA,NA,NA,NA,NA,NA,1
254827,"Male",1,1992,1,"SAM",NA,NA,"Neutral",0,NA,NA,"Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,"Neutral",NA,2,2,2,"Physical Office","Not willing at all","no",NA,NA,NA,NA,NA,NA,1
254829,"Female",5,1995,1,"SAM",NA,NA,"Neutral",0,NA,"Green Thumb","Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,4,4,4,"No preference","$11-$20","no",NA,NA,NA,NA,NA,NA,1
254831,"Female",12,1992,1,"SAM",NA,NA,"Confident",0,NA,"Green Thumb","Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,3,3,3,"No preference","$11-$20","yes",2,1,3,3,3,NA,1
254833,"Female",8,1995,3,"HSE",NA,NA,"Neutral",1,"Earth Week",NA,"Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,"Neutral",NA,1,3,1,"Physical Office","Not willing at all","no",NA,NA,NA,NA,NA,NA,0
254834,"Female",3,1997,4,"IDS",NA,NA,"Confident",1,"Earth Week","Green Thumb","Bike Co-op","ENVS Conference","Recyclemania",NA,1,1,1,0,1,0,0,"Effective","More support from the university faculty for environmental efforts on campus. I feel that there is a lot of support from students, but that without staff support (including financial support) maintaining projects as students graduate is difficult.",3,5,5,"Physical Office","anything above $30","yes",4,2,5,5,4,"I am a senior, so I wouldn't be able to work in the office after I graduate obviously, but I think that having a physical sustainability office is a desperate need on Truman's campus if we are to get more serious about being responsible stewards of the environment.",0
254835,"Female",1,1993,3,"HSE",NA,NA,"Confident",0,"Earth Week","Green Thumb","Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,3,4,3,"Physical Office","$11-$20","yes",4,4,4,5,4,NA,0
254836,"Female",8,1994,3,"SAL",NA,NA,"Neutral",0,"Earth Week","Green Thumb",NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,3,3,3,"No preference","$1-$10","no",NA,NA,NA,NA,NA,NA,0
254839,"Female",4,1997,2,"SCS","SAL",NA,"Confident",1,"Earth Week","Green Thumb","Bike Co-op",NA,NA,NA,1,1,0,0,0,0,0,"Effective",NA,3,4,3,"Physical Office","Not willing at all","no",NA,NA,NA,NA,NA,"Student Government has a Environmental Sustainability Fee and Environmental Sustainability Fee Accountability Committee that is beginning this semester that already does a lot of what I believe the goals proposed in this survey states. Maybe check them out?",0
254840,"Male",1,1996,4,"SAL",NA,NA,"Confident",1,"Earth Week","Green Thumb","Bike Co-op","ENVS Conference",NA,NA,1,0,0,0,0,0,0,"Neutral",NA,3,4,3,"Physical Office","anything above $30","yes",3,3,4,4,4,NA,0
254841,"Female",12,1993,4,"SAL",NA,NA,"Neutral",1,"Earth Week","Green Thumb","Bike Co-op",NA,NA,NA,1,0,0,0,0,0,0,"Completely Effective",NA,1,3,1,"No preference","$1-$10","no",NA,NA,NA,NA,NA,NA,0
254842,"Female",12,1994,3,"SAM",NA,NA,"Neutral",1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,2,3,2,"No preference","Not willing at all","no",NA,NA,NA,NA,NA,NA,1
254846,"Female",7,1983,2,"HSE","SCS",NA,"Confident",0,"Earth Week","Green Thumb","Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,"Service",1,3,1,"Physical Office","Not willing at all","no",NA,NA,NA,NA,NA,NA,0
254847,"Other",9,1994,1,"SAL",NA,NA,"Confident",0,NA,"Green Thumb",NA,NA,NA,NA,0,0,0,0,0,0,0,"Ineffective",NA,4,3,3,"Online Office","Not willing at all","yes",4,1,3,3,4,NA,0
